GENE,REFSEQ_ID,UNIPROT_ID,AVE_SC,NUM_EXPT,CC405,CC406,CC410
HIST1H2AC,NP_003503;XP_005249494,H2A1C_HUMAN,62.67,3,76,52,60
HIST1H2AD,NP_066409,H2A1D_HUMAN,65.67,3,80,56,61
HIST1H2AE,NP_066390,H2A1B_HUMAN,62.67,3,76,52,60
HIST1H2AG,NP_066408,H2A1_HUMAN,65.67,3,80,56,61
HIST1H2AH,NP_542163,H2A1H_HUMAN,65.67,3,80,56,61
HIST1H2AI,NP_003500,H2A1_HUMAN,65.67,3,80,56,61
HIST1H2AJ,NP_066544,H2A1J_HUMAN,65.67,3,80,56,61
HIST1H2AK,NP_003501,H2A1_HUMAN,65.67,3,80,56,61
HIST1H2AL,NP_003502,H2A1_HUMAN,65.67,3,80,56,61
HIST1H2AM,NP_003505,H2A1_HUMAN,65.67,3,80,56,61
HIST1H2BA,NP_733759,H2B1A_HUMAN,30,3,23,45,22
HIST1H2BB,NP_066406,H2B1B_HUMAN,75,3,76,85,64
HIST1H2BC,NP_003517;XP_005249497,H2B1C_HUMAN,82,3,78,95,73
HIST1H2BD,NP_066407;NP_619790,H2B1D_HUMAN,82,3,78,95,73
HIST1H2BE,NP_003514,H2B1C_HUMAN,82,3,78,95,73
HIST1H2BF,NP_003513,H2B1C_HUMAN,82,3,78,95,73
HIST1H2BG,NP_003509,H2B1C_HUMAN,82,3,78,95,73
HIST1H2BH,NP_003515;XP_005249496,H2B1H_HUMAN,82,3,78,95,73
HIST1H2BI,NP_003516,H2B1C_HUMAN,82,3,78,95,73
HIST1H2BJ,NP_066402;XP_005249521,H2B1J_HUMAN,75,3,76,85,64
HIST1H2BK,NP_542160,H2B1K_HUMAN,82,3,78,95,73
HIST1H2BL,NP_003510,H2B1L_HUMAN,82,3,78,95,73
HIST1H2BM,NP_003512,H2B1M_HUMAN,82,3,78,95,73
HIST1H2BN,NP_003511;XP_005249495,H2B1N_HUMAN,82,3,78,95,73
HIST1H2BO,NP_003518;XP_005249498,H2B1O_HUMAN,75,3,76,85,64
HIST1H3A,NP_003520,H31_HUMAN,21,3,13,30,20
HIST1H3B,NP_003528,H31_HUMAN,21,3,13,30,20
HIST1H3C,NP_003522,H31_HUMAN,21,3,13,30,20
HIST1H3D,NP_003521;XP_005249499,H31_HUMAN,21,3,13,30,20
HIST1H3E,NP_003523;XP_005249500,H31_HUMAN,21,3,13,30,20
HIST1H3F,NP_066298,H31_HUMAN,21,3,13,30,20
HIST1H3G,NP_003525,H31_HUMAN,21,3,13,30,20
HIST1H3H,NP_003527,H31_HUMAN,21,3,13,30,20
HIST1H3I,NP_003524,H31_HUMAN,21,3,13,30,20
HIST1H3J,NP_003526,H31_HUMAN,21,3,13,30,20
HIST1H4A,NP_003529,H4_HUMAN,83.33,3,84,96,70
HIST1H4B,NP_003535,H4_HUMAN,83.33,3,84,96,70
HIST1H4C,NP_003533,H4_HUMAN,83.33,3,84,96,70
HIST1H4D,NP_003530,H4_HUMAN,83.33,3,84,96,70
HIST1H4E,NP_003536,H4_HUMAN,83.33,3,84,96,70
HIST1H4F,NP_003531,H4_HUMAN,83.33,3,84,96,70
HIST1H4G,NP_003538,H4G_HUMAN,3.5,2,0,4,3
HIST1H4H,NP_003534;XP_005249501,H4_HUMAN,83.33,3,84,96,70
HIST1H4I,NP_003486;XP_005249493,H4_HUMAN,83.33,3,84,96,70
HIST1H4J,NP_068803,H4_HUMAN,83.33,3,84,96,70
HIST1H4K,NP_003532,H4_HUMAN,83.33,3,84,96,70
HIST1H4L,NP_003537,H4_HUMAN,83.33,3,84,96,70
HIST2H2AA3,NP_003507,H2A2A_HUMAN,65,3,78,56,61
HIST2H2AA4,NP_001035807,H2A2A_HUMAN,65,3,78,56,61
HIST2H2AB,NP_778235,H2A2B_HUMAN,20,3,27,19,14
HIST2H2AC,NP_003508,H2A2C_HUMAN,65,3,78,56,61
HIST2H2BE,NP_003519,H2B2E_HUMAN,75,3,76,85,64
HIST2H2BF,NP_001019770;NP_001154806,H2B2F_HUMAN,82,3,78,95,73
HIST2H3A,NP_001005464,H32_HUMAN,21,3,13,30,20
HIST2H3C,NP_066403,H32_HUMAN,21,3,13,30,20
HIST2H3D,NP_001116847,H32_HUMAN,21,3,13,30,20
HIST2H4A,NP_001029249;NP_003539,H4_HUMAN,83.33,3,84,96,70
HIST3H2A,NP_254280,H2A3_HUMAN,62.67,3,76,52,60
HIST3H2BB,NP_778225,H2B3B_HUMAN,73.33,3,75,84,61
HIST3H3,NP_003484,H31T_HUMAN,21,3,13,30,20
HIST4H4,NP_778224;XP_005253358,H4_HUMAN,83.33,3,84,96,70
HK1,NP_000179;NP_277031,HXK1_HUMAN,1,1,0,1,0
HNRNPA0,NP_006796,ROA0_HUMAN,1.5,2,1,2,0
HNRNPA1,NP_002127;NP_112420,ROA1_HUMAN,2,3,4,1,1
HNRNPA1L2,NP_001011724;NP_001011725,RA1L2_HUMAN,1,2,1,0,1
HNRNPA2B1,NP_002128;NP_112533,ROA2_HUMAN,2,2,3,1,0
HNRNPAB,NP_004490;NP_112556,ROAA_HUMAN,1,1,1,0,0
HNRNPC,NP_001070910;NP_001070911,HNRPC_HUMAN,12.67,3,14,14,10
HNRNPCL1,NP_001013653;NP_001130033,HNRCL_HUMAN,5,3,4,7,4
HNRNPD,NP_001003810;NP_002129,HNRPD_HUMAN,1,2,1,1,0
HNRNPDL,NP_001193929;NP_112740,HNRDL_HUMAN,1,1,0,1,0
HNRNPF,NP_001091674;NP_001091675,HNRPF_HUMAN,6.67,3,6,8,6
HNRNPH1,NP_001244222;NP_005511,HNRH1_HUMAN,8,3,9,9,6
HNRNPH2,NP_001027565;NP_001186902,HNRH2_HUMAN,7,3,10,6,5
HNRNPH3,NP_036339;NP_067676,HNRH3_HUMAN,5.67,3,5,7,5
HNRNPK,NP_002131;NP_112552,HNRPK_HUMAN,3,2,4,0,2
HNRNPL,NP_001005335;NP_001524,HNRPL_HUMAN,1,1,1,0,0
HNRNPM,NP_005959;NP_112480,HNRPM_HUMAN,5.33,3,6,5,5
HNRNPR,NP_001095867;NP_001095868,HNRPR_HUMAN,2,2,3,0,1
HNRNPU,NP_004492;NP_114032,HNRPU_HUMAN,12.67,3,17,9,12
HNRNPUL2,NP_001073027,HNRL2_HUMAN,1,2,1,1,0
HP,NP_001119574;NP_005134,HPT_HUMAN,2,1,2,0,0
HP1BP3,NP_057371;XP_005245932,HP1B3_HUMAN,1,1,0,1,0
HPR,NP_066275;XP_005255981,HPTR_HUMAN,1,1,1,0,0
HRNR,NP_001009931,HORN_HUMAN,11.33,3,8,20,6
HSP90AA1,NP_001017963;NP_005339,HS90A_HUMAN,19.67,3,18,19,22
HSP90AB1,NP_001258898;NP_001258899,HS90B_HUMAN,31,3,37,28,28
HSP90B1,NP_003290;XP_005269191,ENPL_HUMAN,6,3,10,5,3
HSPA1A,NP_005336;XP_005249124,HSP71_HUMAN,18.33,3,21,18,16
HSPA1B,NP_005337;XP_005249126,HSP71_HUMAN,18.33,3,21,18,16
HSPA1L,NP_005518;XP_005249127,HS71L_HUMAN,13,3,15,12,12
HSPA2,NP_068814,HSP72_HUMAN,14,3,14,14,14
HSPA4,NP_002145,HSP74_HUMAN,2,1,2,0,0
HSPA5,NP_005338,GRP78_HUMAN,11.33,3,17,6,11
HSPA6,NP_002146,HSP76_HUMAN,8,3,10,8,6
HSPA8,NP_006588;NP_694881,HSP7C_HUMAN,34.67,3,33,34,37
HSPA9,NP_004125,GRP75_HUMAN,3.33,3,7,2,1
HSPB1,NP_001531,HSPB1_HUMAN,19.33,3,11,22,25
HSPD1,NP_002147;NP_955472,CH60_HUMAN,12.33,3,17,9,11
HSPH1,NP_006635;XP_005266292,HS105_HUMAN,2,1,2,0,0
HUNK,NP_055401,HUNK_HUMAN,1,1,0,0,1
ICT1,NP_001536;XP_005257357,ICT1_HUMAN,1.67,3,1,2,2
IGBP1,NP_001542,IGBP1_HUMAN,1,1,0,1,0
IGF2BP2,NP_001007226;NP_006539,IF2B2_HUMAN,1,2,0,1,1
IGF2BP3,NP_006538,IF2B3_HUMAN,1,1,1,0,0
IGJ,NP_653247,IGJ_HUMAN,1,1,1,0,0
IGLL5,NP_001171597;NP_001243225,IGLL5_HUMAN;LAC1_HUMAN,2,1,2,0,0
IL18,NP_001230140;NP_001553,IL18_HUMAN,1,2,1,0,1
ILF2,NP_001254738;NP_004506,ILF2_HUMAN,2.5,2,4,0,1
IMMT,NP_001093639;NP_001093640,IMMT_HUMAN,2,1,2,0,0
IMP3,NP_060755;XP_005254591,IMP3_HUMAN,1,2,1,1,0
IMPDH2,NP_000875,IMDH2_HUMAN,1,1,1,0,0
INA,NP_116116;XP_005270324,AINX_HUMAN,1,2,1,1,0
INCENP,NP_001035784;NP_064623,INCE_HUMAN,17.67,3,14,12,27
IPO4,NP_078934,IPO4_HUMAN,1.5,2,2,0,1
IPO5,NP_002262;XP_005254105,IPO5_HUMAN,1,1,1,0,0
IPO7,NP_006382,IPO7_HUMAN,3.67,3,7,1,3
IPO8,NP_001177924;NP_006381,IPO8_HUMAN,1,2,1,0,1
IPO9,NP_060555,IPO9_HUMAN,2,1,2,0,0
IQGAP1,NP_003861;XP_005255041,IQGA1_HUMAN,1,1,1,0,0
IQGAP3,NP_839943,IQGA3_HUMAN,1,1,1,0,0
ISY1,NP_001186398;NP_065752,ISY1_HUMAN,2,1,0,2,0
ISY1-RAB43,NP_001191819,--,2,1,0,2,0
JUP,NP_002221;NP_068831,PLAK_HUMAN,3,1,0,3,0
KARS,NP_001123561;NP_005539,SYK_HUMAN,9.5,2,0,8,11
KCNK18,NP_862823,KCNKI_HUMAN,1,1,1,0,0
KIAA1468,NP_065905;XP_005266786,K1468_HUMAN,1,2,0,1,1
KIF23,NP_001268230;NP_004847,KIF23_HUMAN,1,1,1,0,0
KIF5A,NP_004975;XP_005268915,KIF5A_HUMAN,1,1,0,1,0
KIFC1,NP_002254;XP_005249149,KIFC1_HUMAN,1,1,1,0,0
KPNA1,NP_002255;XP_005247494,IMA5_HUMAN,1,1,1,0,0
KPNA2,NP_002257;XP_005257399,IMA1_HUMAN,4.67,3,6,3,5
KPNB1,NP_001263382;NP_002256,IMB1_HUMAN,3,3,4,4,1
KPRP,NP_001020402,KPRP_HUMAN,1.5,2,0,2,1
KREMEN1,NP_001034659;NP_114434,KREM1_HUMAN,1,1,0,0,1
KRR1,NP_008974;XP_005268649,KRR1_HUMAN,1.5,2,0,2,1
KRT1,NP_006112,K2C1_HUMAN,278.67,3,275,320,241
KRT10,NP_000412;XP_005257400,K1C10_HUMAN,184.33,3,177,235,141
KRT12,NP_000214,K1C12_HUMAN,3,3,3,4,2
KRT13,NP_002265;NP_705694,K1C13_HUMAN,26.67,3,19,40,21
KRT14,NP_000517,K1C14_HUMAN,78.67,3,56,109,71
KRT15,NP_002266;XP_005257402,K1C15_HUMAN,25.67,3,20,39,18
KRT16,NP_005548,K1C16_HUMAN,74,3,41,124,57
KRT17,NP_000413;XP_005257406,K1C17_HUMAN,47,3,41,67,33
KRT18,NP_000215;NP_954657,K1C18_HUMAN,15.33,3,21,15,10
KRT19,NP_002267,K1C19_HUMAN,22.67,3,21,35,12
KRT2,NP_000414,K22E_HUMAN,170.67,3,145,218,149
KRT20,NP_061883;XP_005257521,K1C20_HUMAN,3,3,2,4,3
KRT222,NP_689562;XP_005257110,KT222_HUMAN,2,3,1,3,2
KRT23,NP_001269362;NP_056330,K1C23_HUMAN,1.67,3,1,2,2
KRT24,NP_061889,K1C24_HUMAN,15.33,3,11,24,11
KRT25,NP_853512,K1C25_HUMAN,23.33,3,20,28,22
KRT26,NP_853517;XP_005257364,K1C26_HUMAN,17,3,16,19,16
KRT27,NP_853515,K1C27_HUMAN,23.33,3,20,28,22
KRT28,NP_853513,K1C28_HUMAN,32.67,3,27,43,28
KRT3,NP_476429;XP_005268916,K2C3_HUMAN,26,3,13,38,27
KRT31,NP_002268;XP_005257408,K1H1_HUMAN,9,3,7,13,7
KRT32,NP_002269,K1H2_HUMAN,9,3,7,13,7
KRT33A,NP_004129,KT33A_HUMAN,1,1,0,0,1
KRT33B,NP_002270,KT33B_HUMAN,9,3,7,13,7
KRT34,NP_066293;XP_003403930,KRT34_HUMAN,1,1,0,0,1
KRT35,NP_002271,KRT35_HUMAN,9.33,3,8,13,7
KRT36,NP_003762;XP_005257819,KRT36_HUMAN,8.67,3,7,13,6
KRT37,NP_003761,KRT37_HUMAN,8.67,3,7,13,6
KRT38,NP_006762,KRT38_HUMAN,8.67,3,7,13,6
KRT4,NP_002263;XP_005268918,K2C4_HUMAN,11.67,3,9,16,10
KRT5,NP_000415;XP_005268919,K2C5_HUMAN,87,3,54,128,79
KRT6A,NP_005545,K2C6A_HUMAN,78.67,3,52,113,71
KRT6B,NP_005546,K2C6B_HUMAN,83.67,3,59,117,75
KRT6C,NP_775109,K2C6C_HUMAN,78,3,52,111,71
KRT7,NP_005547,K2C7_HUMAN,12,3,7,16,13
KRT71,NP_258259,K2C71_HUMAN,9.33,3,3,14,11
KRT72,NP_001139697;NP_001139698,K2C72_HUMAN,11,3,4,17,12
KRT73,NP_778238,K2C73_HUMAN,11,3,3,17,13
KRT74,NP_778223,K2C74_HUMAN,11,3,3,17,13
KRT75,NP_004684,K2C75_HUMAN,42.67,3,43,48,37
KRT76,NP_056932,K22O_HUMAN,32.67,3,20,46,32
KRT77,NP_778253;XP_005268910,K2C1B_HUMAN,33.33,3,21,46,33
KRT78,NP_775487;XP_005268752,K2C78_HUMAN,2,2,0,2,2
KRT79,NP_787028,K2C79_HUMAN,29.67,3,16,44,29
KRT8,NP_001243211;NP_001243222,K2C8_HUMAN,36,3,33,44,31
KRT81,NP_002272,KRT81_HUMAN,1,3,1,1,1
KRT83,NP_002273;XP_005268921,KRT83_HUMAN,1,3,1,1,1
KRT84,NP_149034,KRT84_HUMAN,10.67,3,5,15,12
KRT85,NP_002274;XP_005268922,KRT85_HUMAN,1,1,0,1,0
KRT86,NP_002275;XP_005268923,KRT86_HUMAN,1,3,1,1,1
KRT9,NP_000217,K1C9_HUMAN,136,3,151,145,112
LARP4,NP_001164274;NP_001164275,LARP4_HUMAN,1,2,0,1,1
LARS,NP_064502;XP_005268515,SYLC_HUMAN,7.5,2,0,9,6
LAS1L,NP_001164120;NP_001164121,LAS1L_HUMAN,1.5,2,2,0,1
LASP1,NP_001258537;NP_006139,LASP1_HUMAN,1,1,1,0,0
LBR,NP_002287;NP_919424,LBR_HUMAN,1.33,3,2,1,1
LCN1,NP_001239546;NP_001239547,LCN1_HUMAN,3,1,3,0,0
LDHA,NP_001128711;NP_001158886,LDHA_HUMAN,3,2,5,1,0
LDHAL6A,NP_001137543;NP_659409,LDH6A_HUMAN,1,1,1,0,0
LDHB,NP_001167568;NP_002291,LDHB_HUMAN,3,2,5,1,0
LDHC,NP_002292;NP_059144,LDHC_HUMAN,1,1,1,0,0
LEPRE1,NP_001139761;NP_001230175,P3H1_HUMAN,1,1,0,1,0
LGALS1,NP_002296,LEG1_HUMAN,1.5,2,1,2,0
LGALS7,NP_002298,LEG7_HUMAN,2,1,0,2,0
LGALS7B,NP_001035972,LEG7_HUMAN,2,1,0,2,0
LLPH,NP_115714,LLPH_HUMAN,20,1,20,0,0
LMNA,NP_001244303;NP_001269553,LMNA_HUMAN,4,3,7,3,2
LMNB1,NP_001185486;NP_005564,LMNB1_HUMAN,2,2,2,0,2
LMNB2,NP_116126,LMNB2_HUMAN,1,2,1,0,1
LRPPRC,NP_573566,LPPRC_HUMAN,3.5,2,6,0,1
LRWD1,NP_690852;XP_005250261,LRWD1_HUMAN,1,1,0,0,1
LTF,NP_001186078;NP_002334,TRFL_HUMAN,8,1,8,0,0
LYAR,NP_001139197;NP_060286,LYAR_HUMAN,1.5,2,1,0,2
LYNX1,NP_076435;NP_803252,LYNX1_HUMAN,1,1,0,1,0
LYZ,NP_000230,LYSC_HUMAN,3,2,5,0,1
MAGEA1,NP_004979,MAGA1_HUMAN,1.5,2,0,2,1
MAGEA10,NP_001011543;NP_001238757,MAGAA_HUMAN,1.5,2,0,2,1
MAGEA4,NP_001011548;NP_001011549,MAGA4_HUMAN,3.5,2,0,6,1
MAGEA8,NP_001159872;NP_001159873,MAGA8_HUMAN,2.5,2,0,4,1
MAGEB16,NP_001093391,MAGBG_HUMAN,1.5,2,0,2,1
MAGEB18,NP_775970,MAGBI_HUMAN,1.5,2,0,2,1
MAGEB2,NP_002355,MAGB2_HUMAN,1,1,0,1,0
MAGEB3,NP_002356;XP_005274567,MAGB3_HUMAN,1.5,2,0,2,1
MAGEC1,NP_005453;XP_003846820,MAGC1_HUMAN,1.5,2,0,2,1
MAGEC3,NP_619647;NP_803251,MAGC3_HUMAN,1.5,2,0,2,1
MAGED1,NP_001005332;NP_001005333,MAGD1_HUMAN,1,1,0,0,1
MAGED2,NP_055414;NP_803182,MAGD2_HUMAN,2.5,2,3,0,2
MAGT1,NP_115497,MAGT1_HUMAN,1.5,2,0,1,2
MAK16,NP_115898,MAK16_HUMAN,2.5,2,0,2,3
MARS,NP_004981,SYMC_HUMAN,1.67,3,3,1,1
MATR3,NP_001181883;NP_001181884,MATR3_HUMAN,10,1,10,0,0
MB21D1,NP_612450,CGAS_HUMAN,8,1,0,0,8
MCCC1,NP_064551;XP_005247692,MCCA_HUMAN,16,3,18,13,17
MCCC2,NP_071415;XP_005248624,MCCB_HUMAN,19,3,17,17,23
MCM7,NP_001265524;NP_005907,MCM7_HUMAN,5,1,5,0,0
MDH2,NP_001269332;NP_001269333,MDHM_HUMAN,1,1,1,0,0
MDK,NP_001012333;NP_001012334,MK_HUMAN,1,3,1,1,1
METTL13,NP_001007240;NP_055770,MET13_HUMAN,1,1,1,0,0
METTL15,NP_001107000;NP_689849,MET15_HUMAN,1,1,0,1,0
MISP,NP_775752;XP_005259550,MISP_HUMAN,1,1,1,0,0
MKI67IP,NP_115766,MK67I_HUMAN,3.67,3,1,7,3
MMS19,NP_071757;XP_005270087,MMS19_HUMAN,1,1,1,0,0
MOV10,NP_001123551;NP_066014,MOV10_HUMAN,1.33,3,2,1,1
MPHOSPH10,NP_005782,MPP10_HUMAN,1,1,0,1,0
MRPL12,NP_002940,RM12_HUMAN,1,2,1,1,0
MRPL13,NP_054797,RM13_HUMAN,6.5,2,0,10,3
MRPL15,NP_054894,RM15_HUMAN,4.33,3,2,8,3
MRPL17,NP_071344,RM17_HUMAN,3,2,0,5,1
MRPL18,NP_054880,RM18_HUMAN,1.67,3,1,3,1
MRPL19,NP_055578,RM19_HUMAN,5,2,0,7,3
MRPL2,NP_057034;XP_005249217,RM02_HUMAN,1,1,1,0,0
MRPL20,NP_060441;XP_005244824,RM20_HUMAN,3,1,0,3,0
MRPL21,NP_852615;NP_852616,RM21_HUMAN,2,1,0,2,0
MRPL22,NP_001014990;NP_054899,RM22_HUMAN,1,1,0,1,0
MRPL23,NP_066957;XP_005253111,RM23_HUMAN,1,2,0,1,1
MRPL27,NP_057588,RM27_HUMAN,1,1,0,1,0
MRPL28,NP_006419;XP_005255097,RM28_HUMAN,2,1,0,2,0
MRPL3,NP_009139;XP_005247141,RM03_HUMAN,2.5,2,0,4,1
MRPL37,NP_057575;XP_005270977,RM37_HUMAN,2,1,0,0,2
MRPL38,NP_115867,RM38_HUMAN,3,3,1,5,3
MRPL39,NP_059142;NP_542984,RM39_HUMAN,3,2,0,5,1
MRPL4,NP_057040;NP_666499,RM04_HUMAN,2.5,2,0,3,2
MRPL41,NP_115866,RM41_HUMAN,1.5,2,0,2,1
MRPL43,NP_115488;NP_789762,RM43_HUMAN,2.5,2,0,4,1
MRPL44,NP_075066,RM44_HUMAN,2,1,0,2,0
MRPL45,NP_115727,RM45_HUMAN,3,2,0,4,2
MRPL47,NP_065142;NP_817125,RM47_HUMAN,2,2,2,2,0
MRPL9,NP_113608;XP_005245512,RM09_HUMAN,2,1,0,0,2
MRPS15,NP_112570,RT15_HUMAN,1,1,1,0,0
MRPS17,NP_057053;XP_005271827,RT17_HUMAN,1,1,0,1,0
MRPS18A,NP_001180272;NP_060605,RT18A_HUMAN,3.5,2,0,6,1
MRPS18B,NP_054765;XP_005249087,RT18B_HUMAN,1,1,0,1,0
MRPS22,NP_064576;XP_005247697,RT22_HUMAN,4,1,0,4,0
MRPS23,NP_057154,RT23_HUMAN,2,2,0,2,2
MRPS25,NP_071942;XP_005265458,RT25_HUMAN,1,1,0,1,0
MRPS27,NP_055899;XP_005248528,RT27_HUMAN,3.33,3,1,6,3
MRPS28,NP_054737;XP_005251280,RT28_HUMAN,2,1,0,2,0
MRPS30,NP_057724,RT30_HUMAN,1,2,0,1,1
MRPS34,NP_076425;XP_005255568,RT34_HUMAN,1.67,3,1,2,2
MRPS5,NP_114108,RT05_HUMAN,3,1,3,0,0
MRPS7,NP_057055;XP_005257481,RT07_HUMAN,2,1,0,2,0
MRTO4,NP_057267,MRT4_HUMAN,1.5,2,0,2,1
MSH2,NP_000242;NP_001245210,MSH2_HUMAN,2.5,2,4,1,0
MSH6,NP_000170;NP_001268421,MSH6_HUMAN,7,1,7,0,0
MSN,NP_002435;XP_005262326,MOES_HUMAN,4,3,10,1,1
MT-ATP6,--,ATP6_HUMAN,1,2,0,1,1
MT-CO2,--,COX2_HUMAN,1,1,0,1,0
MTA1,NP_001190187;NP_004680,MTA1_HUMAN,1,2,1,1,0
MTA2,NP_004730,MTA2_HUMAN,3,2,5,1,0
MTA3,NP_001269684;NP_001269685,MTA3_HUMAN,1,2,1,1,0
MTERFD1,NP_057026;XP_005250983,MTER1_HUMAN,1,1,0,1,0
MTHFD1,NP_005947;XP_005267750,C1TC_HUMAN,6,1,6,0,0
MUC12,NP_001157934,MUC12_HUMAN,1,1,1,0,0
MYBBP1A,NP_001099008;NP_055335,MBB1A_HUMAN,3,1,3,0,0
MYH1,NP_005954,MYH1_HUMAN,1,1,0,1,0
MYH11,NP_001035202;NP_001035203,MYH11_HUMAN,1,1,1,0,0
MYH13,NP_003793;XP_005256900,MYH13_HUMAN,1,1,0,1,0
MYH14,NP_001070654;NP_001139281,MYH14_HUMAN,1,1,1,0,0
MYH2,NP_001093582;NP_060004,MYH2_HUMAN,1,1,0,1,0
MYH3,NP_002461,MYH3_HUMAN,1,1,0,1,0
MYH4,NP_060003;XP_005256707,MYH4_HUMAN,1,1,0,1,0
MYH6,NP_002462;XP_005267751,MYH6_HUMAN,1,1,0,1,0
MYH7,NP_000248;XP_005267753,MYH7_HUMAN,1,1,0,1,0
MYH8,NP_002463,MYH8_HUMAN,1,1,0,1,0
MYH9,NP_002464;XP_005261671,MYH9_HUMAN,1,1,1,0,0
MYL1,NP_524144;NP_524146,MYL1_HUMAN,1,1,0,1,0
MYL12A,NP_006462;XP_005258133,ML12A_HUMAN,2,2,1,3,0
MYL12B,NP_001138416;NP_001138417,ML12B_HUMAN,2,2,1,3,0
MYL6,NP_066299;NP_524147,MYL6_HUMAN,1,1,0,1,0
MYL9,NP_006088;NP_852667,MYL9_HUMAN,1,1,0,1,0
MYO1A,NP_001242970;NP_005370,MYO1A_HUMAN,2,1,2,0,0
MYO1B,NP_001123630;NP_001155291,MYO1B_HUMAN,2.67,3,5,2,1
MYO1C,NP_001074248;NP_001074419,MYO1C_HUMAN,7,3,15,2,4
NABP1,NP_001026886;NP_001241665,SOSB2_HUMAN,1,2,0,1,1
NACA,NP_001106673;NP_001106674,NACA_HUMAN,2,1,0,2,0
NAP1L1,NP_004528;NP_631946,NP1L1_HUMAN,2.67,3,2,3,3
NAP1L4,NP_005960;XP_005252992,NP1L4_HUMAN,1.5,2,0,2,1
NASP,NP_001182122;NP_002473,NASP_HUMAN,1,1,1,0,0
NAT10,NP_001137502;NP_078938,NAT10_HUMAN,1,2,1,1,0
NCAPD2,NP_055680;XP_005253872,CND1_HUMAN,5.33,3,9,2,5
NCAPG,NP_071741,CND3_HUMAN,13,3,10,11,18
NCAPH,NP_001268639;NP_001268640,CND2_HUMAN,8.33,3,4,11,10
NCL,NP_005372;XP_005246645,NUCL_HUMAN,2,3,4,1,1
NDUFS3,NP_004542,NDUS3_HUMAN,1,1,0,0,1
NEDD8,NP_006147,NEDD8_HUMAN,2,2,0,3,1
NEDD8-MDP1,NP_001186752,--,2,2,0,3,1
NEFH,NP_066554;XP_005261676,NFH_HUMAN,2.33,3,1,4,2
NEFM,NP_001099011;NP_005373,NFM_HUMAN,1,2,1,1,0
NGDN,NP_001036100;NP_056329,NGDN_HUMAN,3,1,0,3,0
NHP2,NP_001030005;NP_060308,NHP2_HUMAN,1,2,1,1,0
NLE1,NP_001014445;NP_060566,NLE1_HUMAN,2,3,1,2,3
NOC3L,NP_071896;XP_005270105,NOC3L_HUMAN,1.5,2,2,1,0
NOL10,NP_001248321;NP_001248323,NOL10_HUMAN,2.5,2,0,4,1
NOL6,NP_075068;NP_631981,NOL6_HUMAN,1,1,1,0,0
NOL9,NP_078930;XP_005263550,NOL9_HUMAN,1,1,1,0,0
NOMO1,NP_055102;XP_005276589,NOMO1_HUMAN,1,2,0,1,1
NOMO2,NP_001004060;NP_775885,NOMO2_HUMAN,1,1,0,1,0
NOMO3,NP_001004067;XP_005255375,NOMO3_HUMAN,1,1,0,1,0
NONO,NP_001138880;NP_001138881,NONO_HUMAN,2,2,3,1,0
NOP16,NP_001243468;NP_001243469,NOP16_HUMAN,3.33,3,5,4,1
NOP2,NP_001028886;NP_001245237,NOP2_HUMAN,2,1,0,0,2
NOP56,NP_006383,NOP56_HUMAN,1,1,0,1,0
NOP58,NP_057018,NOP58_HUMAN,3,2,5,0,1
NPEPPS,NP_006301;XP_005257896,PSA_HUMAN,1,1,1,0,0
NPM1,NP_001032827;NP_002511,NPM_HUMAN,2,2,3,1,0
NRG1,NP_001153467;NP_001153468,NRG1_HUMAN,1,1,1,0,0
NSA2,NP_001258594;NP_055701,NSA2_HUMAN,5,1,5,0,0
NTN1,NP_004813,NET1_HUMAN,10,1,10,0,0
NUDC,NP_006591;XP_005245783,NUDC_HUMAN,2,1,2,0,0
NUDT16L1,NP_001180381;NP_115725,SDOS_HUMAN,1,1,0,0,1
NUP188,NP_056169,NU188_HUMAN,1,1,1,0,0
NUP205,NP_055950;XP_005250292,NU205_HUMAN,1.5,2,2,0,1
NUP43,NP_942590;XP_005267017,NUP43_HUMAN,2,2,0,2,2
NUP85,NP_079120;XP_005257747,NUP85_HUMAN,1,2,0,1,1
NUP93,NP_001229724;NP_001229725,NUP93_HUMAN,3.33,3,7,1,2
NVL,NP_001230075;NP_001230076,NVL_HUMAN,14,2,0,17,11
OAT,NP_000265;NP_001165285,OAT_HUMAN,1,1,1,0,0
OGFR,NP_031372;XP_005260244,OGFR_HUMAN,1,1,0,1,0
OSBPL3,NP_056365;NP_663160,OSBL3_HUMAN,1,1,0,0,1
OSTC,NP_001254746;NP_001254747,OSTC_HUMAN,1,1,0,0,1
P4HA1,NP_000908;NP_001017962,P4HA1_HUMAN,1,1,1,0,0
P4HA2,NP_001017973;NP_001017974,P4HA2_HUMAN,1,1,1,0,0
P4HB,NP_000909;XP_005256427,PDIA1_HUMAN,4,3,7,2,3
PABPC1,NP_002559;XP_005250918,PABP1_HUMAN,1.5,2,2,0,1
PABPC3,NP_112241,PABP3_HUMAN,1.5,2,2,0,1
PABPN1,NP_004634,PABP2_HUMAN,1,1,1,0,0
PAK1IP1,NP_060376;XP_005249261,PK1IP_HUMAN,5,2,0,7,3
PARP1,NP_001609,PARP1_HUMAN,51.67,3,59,41,55
PARP14,NP_060024;XP_005247602,PAR14_HUMAN,1,1,1,0,0
PARP4,NP_006428,PARP4_HUMAN,1,1,0,1,0
